"Maori name","Latin name","European name","Conservation status","NZ conservation status"
"Kahu","Circus approximans","Harrier Hawk","Not Threatened","Native"
"Kaireka","Alauda arvensis","Skylark","Introduced and Naturalised","Introduced"
"Kaka","Nestor meridionalis","Brown Parrot","Recovering","Endemic"
"Kakariki","Cyanoramphus novaezelandiae","Redcrowned parakeet","Relict","Endemic"
"Karoro","Larus dominicanus","Blackbacked Gull","Not Threatened","Native"
"Kawau Tui","Phalacrocorax sulcirostris","Little Black Shag","Naturally Uncommon","Native"
"Kereru","Hemiphaga novaeseelandiae","Wood Pigeon","Not Threatened","Endemic"
"Kotare","Todiramphus sanctus","Sacred Kingfisher","Not Threatened","Native"
"Makipae","Gymnorhina tibicen","Magpie","Introduced and Naturalised","Introduced"
"Manu Pango","Turdus merula","Blackbird","Introduced and Naturalised","Introduced"
"Matuku Moana","Egretta sacra","Reef Heron","Nationally Endangered","Native"
"Mioweka","Gallirallus philippensis","Banded Rail","Declining","Native"
"Mohua","Mohoua ochrocephala","Yellowhead","Recovering","Endemic"
"Ngirungiru","Petroica macrocephala","Tomtit","Not Threatened","Endemic"
"Pahirini","Fringilla coelebs","Chaffinch","Introduced and Naturalised","Introduced"
"Pateke","Anas chlorotis","Brown teal","Recovering","Endemic"
"Pipiwharauroa","Chrysococcyx lucidus","Shining Cuckoo","Not Threatened","Native"
"Piwakawaka","Rhipidura fuliginosa","Fantail","Not Threatened","Endemic"
"Pukeko","Porphyrio melanotus","Purple Swamphen","Not Threatened","Native"
"Putangitangi","Tadorna variegata","Paradise Duck","Not Threatened","Endemic"
"Riroriro","Gerygone igata","Grey Warbler","Not Threatened","Endemic"
"Ruru","Ninox novaeseelandiae","Morepork","Not Threatened","Native"
"Takapu","Morus serrator","Gannet","Not Threatened","Native"
"Tarapunga","Larus novaehollandiae","Redbilled Gull","Declining","Native"
"Tauhou","Zosterops lateralis","Silvereye","Not Threatened","Native"
"Tiu","Passer domesticus","Sparrow","Introduced and Naturalised","Introduced"
"Torea Pango","Haematopus unicolor","Oystercatcher","Recovering","Endemic"
"Tui","Prosthemadera novaeseelandiae","Parson Bird","Naturally Uncommon","Endemic"
"Tuturiwhatu","Charadrius spp.","Dotterel","NA","NA"
"Warou","Hirundo neoxena","Swallow","Not Threatened","Native"
"-","Emberiza citrinella","Yellowhammer","Introduced and Naturalised","Introduced"
"-","Acridotheres tristis","Mynah","Introduced and Naturalised","Introduced"
"-","Vanellus miles","Spurwinged Plover","Not Threatened","Native"
"-","Turdus philomelos","Song Thrush","Introduced and Naturalised","Introduced"
"-","Ardea cinerea","Grey Heron","Vagrant","Native"
"-","Anas platyrhynchos","Mallard Duck","Introduced and Naturalised","Introduced"
"-","Carduelis carduelis","Goldfinch","Introduced and Naturalised","Introduced"
"-","Sturnus vulgaris","Starling","Introduced and Naturalised","Introduced"
